id;cafe;end;lat;long;visitado
1;baden;azevedo sodré, 74;-30,0175660;-51,1708283;FALSE
2;república;república, 358;-30,0385271;-51,2231072;FALSE
3;farrô;venâncio aires, 1031;-30,0379012;-51,2104656;FALSE
4;ode;felipe camarão, 737;-30,0357190;-51,2098611;FALSE
5;café do mercado;mercado público;-30,0274750;-51,2282747;FALSE
6;gingko;bordini, 332;-30,0209001;-51,1969266;FALSE
7;gatinhos;domingos josé de almeida, 87;-30,0383693;-51,1991249;FALSE
8;abuela;câncio gomes, 664;-30,0186173;-51,2066173;FALSE
9;pausa;riachuelo, 1257;-30,0317324;-51,2291841;FALSE
10;agridoce;sarmento leite, 1024;-30,0378394;-51,2239648;FALSE
11;oh bruder;fernandes vieira, 360;-30,0325813;-51,2107697;FALSE
12;hani;independência, 1211;-30,0292282;-51,2088056;FALSE
13;poa café armazem;mauricio cardoso, 61;-30,0229709;-51,2029428;FALSE
14;prazer café;venâncio aires, 1019;-30,0379203;-51,2105365;FALSE
15;yami;cel fabricio pillar, 198;-30,0259034;-51,1954165;FALSE
16;williams;dinarte ribeiro, 214;-30,0238480;-51,2021425;FALSE
17;muaá;henrique dias, 16;-30,0328873;-51,2123390;FALSE
18;uai why;jose otao, 576;-30,0314818;-51,2127035;FALSE
19;moa;duque de caxias, 687;-30,0339497;-51,2346584;FALSE
20;síndico;andradas, 419;-30,0326427;-51,2374160;FALSE
21;café mal assombrado;fernando machado, 513;-30,0352082;-51,2325264;FALSE
22;brio;24 de outubro, 1728;-30,0215632;-51,1913897;FALSE
23;macun;octávio correa, 67;-30,0396198;-51,2186966;FALSE
24;mr white;ramiro barcellos, 1221;-30,0297880;-51,2086890;FALSE
25;limão bergamota;arlindo pasqualini, 135;-30,1282067;-51,2385781;FALSE
26;sensorial;24 de outubro, 395;-30,0273118;-51,2036261;FALSE
27;luciamaria;ccmq;-30,0310944;-51,2344781;FALSE
28;angélica;joão telles, 301;-30,0321445;-51,2125702;FALSE
29;casa de pelotas;republica, 421;-30,0387122;-51,2240357;FALSE
30;café entre gatos;copacabana, 800;-30,1039071;-51,2538909;FALSE
